group,repeat,wall_time_s,fx_n,fy_n,fz_n,tx_nm,ty_nm,tz_nm
1,1,1789523830.514990091,2.900528,6.488486,56.853898,2.256923,2.312507,0.30762
1,1,1789523830.515827417,2.826786,6.544301,56.83845,2.248035,2.310478,0.303146
1,1,1789523830.518831730,2.900528,6.488486,56.853898,2.256923,2.312507,0.30762
1,1,1789523830.520278931,2.836539,6.543949,56.658942,2.251863,2.31019,0.313431
1,1,1789523830.523819447,2.900528,6.488486,56.853898,2.256923,2.312507,0.30762
1,1,1789523830.525355577,3.034211,6.544676,56.963814,2.248893,2.31711,0.306942
1,1,1789523830.528856516,2.900528,6.488486,56.853898,2.256923,2.312507,0.30762
1,1,1789523830.530014038,3.044527,6.551182,56.96605,2.248394,2.316564,0.29616
1,1,1789523830.533641577,2.900528,6.488486,56.853898,2.256923,2.312507,0.30762
1,1,1789523830.534285069,2.858393,6.603108,56.816097,2.248371,2.317216,0.301163
1,1,1789523830.538845778,2.900528,6.488486,56.853898,2.256923,2.312507,0.30762
1,1,1789523830.539735794,2.84921,6.543222,56.750961,2.251495,2.310819,0.312862
1,1,1789523830.543930054,2.900528,6.488486,56.853898,2.256923,2.312507,0.30762
1,1,1789523830.544777632,2.975269,6.485695,56.935605,2.249251,2.309873,0.312274
1,1,1789523830.548674107,2.900528,6.488486,56.853898,2.256923,2.312507,0.30762
1,1,1789523830.549505949,3.002779,6.563228,57.065793,2.245517,2.315632,0.30039
1,1,1789523830.553822041,2.900528,6.488486,56.853898,2.256923,2.312507,0.30762
1,1,1789523830.554722786,2.926037,6.605032,56.840074,2.247624,2.316785,0.298601
1,1,1789523830.558791399,2.900528,6.488486,56.853898,2.256923,2.312507,0.30762
1,1,1789523830.559634209,2.879398,6.552025,56.796368,2.251309,2.311402,0.312184
1,1,1789523830.563797951,2.900528,6.488486,56.853898,2.256923,2.312507,0.30762
1,1,1789523830.564631224,2.909537,6.504742,56.918847,2.24951,2.311154,0.313467
1,1,1789523830.568718910,2.900528,6.488486,56.853898,2.256923,2.312507,0.30762
1,1,1789523830.570054770,2.977761,6.584959,57.102196,2.247361,2.316527,0.299799
1,1,1789523830.573818922,2.900528,6.488486,56.853898,2.256923,2.312507,0.30762
1,1,1789523830.575073004,3.007567,6.620584,56.95472,2.246503,2.317082,0.300604
1,1,1789523830.578794718,2.900528,6.488486,56.853898,2.256923,2.312507,0.30762
1,1,1789523830.580024004,2.91549,6.572433,56.93057,2.247834,2.309865,0.302411
1,1,1789523830.583796501,2.900528,6.488486,56.853898,2.256923,2.312507,0.30762
1,1,1789523830.584640741,2.872108,6.527559,56.938502,2.245597,2.308704,0.307701
1,1,1789523830.588719130,2.900528,6.488486,56.853898,2.256923,2.312507,0.30762
1,1,1789523830.589918375,2.931077,6.569023,56.644127,2.244193,2.317061,0.310655
1,1,1789523830.595066547,2.900528,6.488486,56.853898,2.256923,2.312507,0.30762
1,1,1789523830.595753193,3.011414,6.609653,56.93957,2.246271,2.322196,0.297421
1,1,1789523830.598804235,2.900528,6.488486,56.853898,2.256923,2.312507,0.30762
1,1,1789523830.599912167,3.012508,6.555248,56.855729,2.250174,2.316735,0.296964
1,1,1789523830.604089499,2.900528,6.488486,56.853898,2.256923,2.312507,0.30762
1,1,1789523830.604998589,2.865913,6.517295,56.847526,2.255073,2.312876,0.309423
1,1,1789523830.609147072,2.900528,6.488486,56.853898,2.256923,2.312507,0.30762
1,1,1789523830.610101938,2.94084,6.485929,57.086462,2.257426,2.316352,0.308088
1,1,1789523830.614096165,2.900528,6.488486,56.853898,2.256923,2.312507,0.30762
1,1,1789523830.615166903,3.037966,6.532458,56.908395,2.250237,2.318003,0.30127
1,1,1789523830.620086432,2.900528,6.488486,56.853898,2.256923,2.312507,0.30762
1,1,1789523830.620873928,3.019141,6.59958,56.96505,2.245992,2.316114,0.301295
1,1,1789523830.624104023,2.900528,6.488486,56.853898,2.256923,2.312507,0.30762
1,1,1789523830.624833822,2.871516,6.599391,56.859319,2.249172,2.308564,0.31022
1,1,1789523830.628955603,2.887601,6.496351,56.640729,2.252919,2.308916,0.313824
1,1,1789523830.629633904,2.865789,6.520204,56.917826,2.252246,2.31529,0.307025
1,1,1789523830.634117365,2.983085,6.502949,56.943815,2.248052,2.316525,0.306157
1,1,1789523830.635650635,2.865789,6.520204,56.917826,2.252246,2.31529,0.307025
1,1,1789523830.639400244,3.043565,6.574393,56.779328,2.245364,2.31779,0.307946
1,1,1789523830.641189814,2.865789,6.520204,56.917826,2.252246,2.31529,0.307025
1,1,1789523830.644129753,2.993794,6.610031,56.926876,2.243048,2.311908,0.300159
1,1,1789523830.645354748,2.865789,6.520204,56.917826,2.252246,2.31529,0.307025
1,1,1789523830.650166988,2.848954,6.564703,56.654301,2.248783,2.314874,0.310868
1,1,1789523830.650910378,2.865789,6.520204,56.917826,2.252246,2.31529,0.307025
1,1,1789523830.654943228,2.918216,6.529339,56.952586,2.248803,2.318331,0.305809
1,1,1789523830.656002522,2.865789,6.520204,56.917826,2.252246,2.31529,0.307025
1,1,1789523830.661512136,3.038962,6.561061,56.841033,2.24119,2.319012,0.31206
1,1,1789523830.662345886,2.865789,6.520204,56.917826,2.252246,2.31529,0.307025
1,1,1789523830.664371967,2.992805,6.565378,56.911586,2.246892,2.315519,0.296832
1,1,1789523830.665664911,2.865789,6.520204,56.917826,2.252246,2.31529,0.307025
1,1,1789523830.669107199,2.903994,6.581478,56.926603,2.249994,2.309713,0.305793
1,1,1789523830.670199156,2.865789,6.520204,56.917826,2.252246,2.31529,0.307025
1,1,1789523830.674160719,2.860176,6.557542,56.930312,2.250837,2.315858,0.315069
1,1,1789523830.674981356,2.865789,6.520204,56.917826,2.252246,2.31529,0.307025
1,1,1789523830.678906441,2.943452,6.526183,56.955773,2.250598,2.315527,0.307589
1,1,1789523830.679936886,2.865789,6.520204,56.917826,2.252246,2.31529,0.307025
1,1,1789523830.685041189,3.035429,6.563787,56.973612,2.247409,2.318932,0.301311
1,1,1789523830.686064482,2.865789,6.520204,56.917826,2.252246,2.31529,0.307025
1,1,1789523830.689339876,2.93916,6.597826,56.622427,2.249033,2.316635,0.308367
1,1,1789523830.690516710,2.865789,6.520204,56.917826,2.252246,2.31529,0.307025
1,1,1789523830.694090605,2.922378,6.589855,56.917967,2.244338,2.314049,0.312851
1,1,1789523830.695244074,2.865789,6.520204,56.917826,2.252246,2.31529,0.307025
1,1,1789523830.699126005,3.003887,6.480635,56.772276,2.247524,2.320544,0.30408
1,1,1789523830.700274467,2.865789,6.520204,56.917826,2.252246,2.31529,0.307025
1,1,1789523830.704120636,2.933031,6.549381,56.88339,2.248253,2.313746,0.302542
1,1,1789523830.705211401,2.865789,6.520204,56.917826,2.252246,2.31529,0.307025
1,1,1789523830.709128857,2.993083,6.622518,56.608724,2.240414,2.310216,0.310889
1,1,1789523830.710267544,2.865789,6.520204,56.917826,2.252246,2.31529,0.307025
1,1,1789523830.714858294,2.969884,6.570142,56.936279,2.248325,2.313424,0.300511
1,1,1789523830.715978861,2.865789,6.520204,56.917826,2.252246,2.31529,0.307025
1,1,1789523830.719144106,2.927981,6.479101,56.933311,2.25052,2.312485,0.304964
1,1,1789523830.721320868,2.865789,6.520204,56.917826,2.252246,2.31529,0.307025
1,1,1789523830.722208738,2.897556,6.482399,56.932493,2.25196,2.314278,0.304567
1,1,1789523830.724163532,2.927981,6.479101,56.933311,2.25052,2.312485,0.304964
1,1,1789523830.725922823,2.865418,6.500849,57.106176,2.250833,2.313693,0.302387
1,1,1789523830.726687908,2.865789,6.520204,56.917826,2.252246,2.31529,0.307025
1,1,1789523830.729053020,2.927981,6.479101,56.933311,2.25052,2.312485,0.304964
1,1,1789523830.730809689,2.877237,6.554552,56.893578,2.25074,2.314408,0.309167
1,1,1789523830.731586218,2.865789,6.520204,56.917826,2.252246,2.31529,0.307025
1,1,1789523830.734053135,2.927981,6.479101,56.933311,2.25052,2.312485,0.304964
1,1,1789523830.735938311,2.981917,6.596719,56.81679,2.247949,2.319515,0.308097
1,1,1789523830.736684084,2.865789,6.520204,56.917826,2.252246,2.31529,0.307025
1,1,1789523830.739231825,2.927981,6.479101,56.933311,2.25052,2.312485,0.304964
1,1,1789523830.740302563,2.865789,6.520204,56.917826,2.252246,2.31529,0.307025
1,1,1789523830.741377115,3.021653,6.569303,56.909668,2.248827,2.314038,0.307549
1,1,1789523830.744073391,2.927981,6.479101,56.933311,2.25052,2.312485,0.304964
1,1,1789523830.744961023,2.865789,6.520204,56.917826,2.252246,2.31529,0.307025
1,1,1789523830.745621443,3.050384,6.538404,57.014764,2.252602,2.320066,0.304086
1,1,1789523830.749125719,2.927981,6.479101,56.933311,2.25052,2.312485,0.304964
