group,repeat,wall_time_s,fx_n,fy_n,fz_n,tx_nm,ty_nm,tz_nm
1,1,1789524052.693690538,2.949559,6.5266,57.19149,2.248342,2.317793,0.303855
1,1,1789524052.695063114,2.989893,6.52428,57.144577,2.254354,2.3233,0.304171
1,1,1789524052.695547819,2.937319,6.628321,56.94302,2.242954,2.317928,0.305166
1,1,1789524052.698716402,2.949559,6.5266,57.19149,2.248342,2.317793,0.303855
1,1,1789524052.700087070,3.037821,6.51851,57.157458,2.251206,2.319118,0.300074
1,1,1789524052.700542212,2.937319,6.628321,56.94302,2.242954,2.317928,0.305166
1,1,1789524052.703745127,2.949559,6.5266,57.19149,2.248342,2.317793,0.303855
1,1,1789524052.704949617,3.009766,6.536104,56.805373,2.250056,2.31917,0.306991
1,1,1789524052.705695152,3.017095,6.559292,57.260924,2.247982,2.31569,0.294162
1,1,1789524052.708883047,2.949559,6.5266,57.19149,2.248342,2.317793,0.303855
1,1,1789524052.709555387,3.009766,6.536104,56.805373,2.250056,2.31917,0.306991
1,1,1789524052.710275173,2.961731,6.595189,57.064196,2.251498,2.314287,0.298904
1,1,1789524052.713774443,2.949559,6.5266,57.19149,2.248342,2.317793,0.303855
1,1,1789524052.714497328,3.009766,6.536104,56.805373,2.250056,2.31917,0.306991
1,1,1789524052.715199471,2.902287,6.527775,57.347123,2.249746,2.314076,0.301728
1,1,1789524052.718710184,2.949559,6.5266,57.19149,2.248342,2.317793,0.303855
1,1,1789524052.719834328,3.009766,6.536104,56.805373,2.250056,2.31917,0.306991
1,1,1789524052.720562220,2.973963,6.513377,57.019528,2.24507,2.314137,0.306714
1,1,1789524052.723708630,2.949559,6.5266,57.19149,2.248342,2.317793,0.303855
1,1,1789524052.724374771,3.009766,6.536104,56.805373,2.250056,2.31917,0.306991
1,1,1789524052.725077868,3.070808,6.57389,57.068538,2.24596,2.320526,0.296645
1,1,1789524052.728728294,3.020187,6.618896,57.164529,2.247734,2.319734,0.298187
1,1,1789524052.729644299,3.009766,6.536104,56.805373,2.250056,2.31917,0.306991
1,1,1789524052.730114222,3.070808,6.57389,57.068538,2.24596,2.320526,0.296645
1,1,1789524052.733719110,2.917199,6.574059,56.866525,2.246256,2.314029,0.309678
1,1,1789524052.734402657,3.009766,6.536104,56.805373,2.250056,2.31917,0.306991
1,1,1789524052.735094309,3.070808,6.57389,57.068538,2.24596,2.320526,0.296645
1,1,1789524052.738688946,2.914973,6.546674,57.08058,2.247265,2.313996,0.297699
1,1,1789524052.739331484,3.009766,6.536104,56.805373,2.250056,2.31917,0.306991
1,1,1789524052.739863634,3.070808,6.57389,57.068538,2.24596,2.320526,0.296645
1,1,1789524052.743800879,3.029485,6.514366,57.01322,2.245953,2.315649,0.302787
1,1,1789524052.744622707,3.009766,6.536104,56.805373,2.250056,2.31917,0.306991
1,1,1789524052.745167971,3.070808,6.57389,57.068538,2.24596,2.320526,0.296645
1,1,1789524052.748748779,3.05698,6.653998,57.098839,2.241668,2.315733,0.297296
1,1,1789524052.749493361,3.009766,6.536104,56.805373,2.250056,2.31917,0.306991
1,1,1789524052.750078201,3.070808,6.57389,57.068538,2.24596,2.320526,0.296645
1,1,1789524052.753525496,2.967572,6.624992,56.881525,2.245081,2.317814,0.301453
1,1,1789524052.754333258,3.009766,6.536104,56.805373,2.250056,2.31917,0.306991
1,1,1789524052.754884005,3.070808,6.57389,57.068538,2.24596,2.320526,0.296645
1,1,1789524052.759207249,2.890148,6.540932,57.117601,2.248788,2.313975,0.303642
1,1,1789524052.759894133,3.009766,6.536104,56.805373,2.250056,2.31917,0.306991
1,1,1789524052.760601997,3.070808,6.57389,57.068538,2.24596,2.320526,0.296645
1,1,1789524052.763704538,2.9612,6.52475,57.05833,2.250191,2.313088,0.30749
1,1,1789524052.764343262,3.009766,6.536104,56.805373,2.250056,2.31917,0.306991
1,1,1789524052.765394688,3.070808,6.57389,57.068538,2.24596,2.320526,0.296645
1,1,1789524052.768732786,3.076827,6.565257,57.181766,2.24994,2.320921,0.297725
1,1,1789524052.769472361,3.009766,6.536104,56.805373,2.250056,2.31917,0.306991
1,1,1789524052.770178795,3.070808,6.57389,57.068538,2.24596,2.320526,0.296645
1,1,1789524052.773718119,3.061931,6.561946,56.851076,2.245705,2.319643,0.3004
1,1,1789524052.774340153,3.009766,6.536104,56.805373,2.250056,2.31917,0.306991
1,1,1789524052.774900675,3.070808,6.57389,57.068538,2.24596,2.320526,0.296645
1,1,1789524052.778868198,2.85913,6.5682,57.174401,2.249794,2.312966,0.303987
1,1,1789524052.779571056,3.009766,6.536104,56.805373,2.250056,2.31917,0.306991
1,1,1789524052.780026436,3.070808,6.57389,57.068538,2.24596,2.320526,0.296645
1,1,1789524052.783704519,2.911374,6.554028,57.114099,2.247735,2.311973,0.307173
1,1,1789524052.784447193,3.009766,6.536104,56.805373,2.250056,2.31917,0.306991
1,1,1789524052.785032988,3.070808,6.57389,57.068538,2.24596,2.320526,0.296645
1,1,1789524052.788721323,3.044833,6.510907,57.115536,2.24777,2.314918,0.3027
1,1,1789524052.789753914,3.009766,6.536104,56.805373,2.250056,2.31917,0.306991
1,1,1789524052.790176630,3.070808,6.57389,57.068538,2.24596,2.320526,0.296645
1,1,1789524052.793600082,3.011323,6.564711,57.16405,2.250393,2.32113,0.298273
1,1,1789524052.794819117,3.009766,6.536104,56.805373,2.250056,2.31917,0.306991
1,1,1789524052.795353889,3.070808,6.57389,57.068538,2.24596,2.320526,0.296645
1,1,1789524052.798681498,2.963162,6.617294,57.116086,2.252327,2.314775,0.296264
1,1,1789524052.800091743,3.009766,6.536104,56.805373,2.250056,2.31917,0.306991
1,1,1789524052.800563812,3.070808,6.57389,57.068538,2.24596,2.320526,0.296645
1,1,1789524052.803689003,2.920891,6.529283,57.077293,2.249417,2.314188,0.307801
1,1,1789524052.804420471,3.009766,6.536104,56.805373,2.250056,2.31917,0.306991
1,1,1789524052.804881811,3.070808,6.57389,57.068538,2.24596,2.320526,0.296645
1,1,1789524052.808707952,3.0054,6.48919,57.15365,2.250914,2.31676,0.303535
1,1,1789524052.809599638,3.009766,6.536104,56.805373,2.250056,2.31917,0.306991
1,1,1789524052.810046196,3.070808,6.57389,57.068538,2.24596,2.320526,0.296645
1,1,1789524052.813692570,3.067161,6.556544,56.878394,2.246543,2.321186,0.300209
1,1,1789524052.814571857,3.009766,6.536104,56.805373,2.250056,2.31917,0.306991
1,1,1789524052.814995527,3.070808,6.57389,57.068538,2.24596,2.320526,0.296645
1,1,1789524052.818926811,3.001267,6.633443,57.107187,2.249717,2.317383,0.296804
1,1,1789524052.819747210,3.009766,6.536104,56.805373,2.250056,2.31917,0.306991
1,1,1789524052.820454836,3.070808,6.57389,57.068538,2.24596,2.320526,0.296645
1,1,1789524052.823881626,2.938296,6.523635,56.848724,2.2525,2.31604,0.304543
1,1,1789524052.824994802,3.009766,6.536104,56.805373,2.250056,2.31917,0.306991
1,1,1789524052.825752258,3.070808,6.57389,57.068538,2.24596,2.320526,0.296645
